time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2020-10-24T12:20:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-10-31T00:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-11-01T12:10:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-11-07T00:00:00.000Z","LatLng(45.314247, 12.508056)","-33.11","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-11-07T00:00:00.000Z","LatLng(45.314247, 12.508056)","1.43","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-14T00:00:00.000Z","LatLng(45.314247, 12.508056)","-68.36399999999999","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-11-14T00:00:00.000Z","LatLng(45.314247, 12.508056)","-38.86","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-21T00:00:00.000Z","LatLng(45.314247, 12.508056)","115.046","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-11-21T00:00:00.000Z","LatLng(45.314247, 12.508056)","247.91","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-28T00:00:00.000Z","LatLng(45.314247, 12.508056)","395.75699999999995","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-11-28T00:00:00.000Z","LatLng(45.314247, 12.508056)","-44.62","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-05T00:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-12-05T12:15:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-12-12T00:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-12-12T00:00:00.000Z","LatLng(45.314247, 12.508056)","39.56","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-12T11:25:00.000Z","LatLng(45.314247, 12.508056)","132.2485079","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-12-19T00:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-12-19T12:10:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-12-26T00:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-12-26T00:00:00.000Z","LatLng(45.314247, 12.508056)","563.45","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-26T12:20:00.000Z","LatLng(45.314247, 12.508056)","290.7263557","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-01-02T00:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-01-02T12:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-01-09T00:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-01-09T00:00:00.000Z","LatLng(45.314247, 12.508056)","109.88","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-09T12:10:00.000Z","LatLng(45.314247, 12.508056)","64.19666148","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-01-16T00:00:00.000Z","LatLng(45.314247, 12.508056)","-14.640999999999998","/","2021-01-16T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-01-16T00:00:00.000Z","LatLng(45.314247, 12.508056)","60.86","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-16T11:30:00.000Z","LatLng(45.314247, 12.508056)","9.481606006","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-01-23T00:00:00.000Z","LatLng(45.314247, 12.508056)","11.663","/","2021-01-23T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-01-23T11:30:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-01-30T00:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","/","2021-01-30T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-01-30T00:00:00.000Z","LatLng(45.314247, 12.508056)","59.21","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-30T11:30:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-02-06T00:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","/","2021-02-06T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-02-06T00:00:00.000Z","LatLng(45.314247, 12.508056)","26.37","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-06T11:30:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-02-13T00:00:00.000Z","LatLng(45.314247, 12.508056)","403.793","/","2021-02-13T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-02-13T00:00:00.000Z","LatLng(45.314247, 12.508056)","925.3","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-13T11:30:00.000Z","LatLng(45.314247, 12.508056)","372.6914227","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-02-20T00:00:00.000Z","LatLng(45.314247, 12.508056)","11.489","/","2021-02-20T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-02-20T11:30:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-02-27T00:00:00.000Z","LatLng(45.314247, 12.508056)","-56.248999999999995","/","2021-02-27T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-02-27T00:00:00.000Z","LatLng(45.314247, 12.508056)","-30.78","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-02-27T11:30:00.000Z","LatLng(45.314247, 12.508056)","-56.14278432","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-03-06T00:00:00.000Z","LatLng(45.314247, 12.508056)","-68.44","/","2021-03-06T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-03-06T00:00:00.000Z","LatLng(45.314247, 12.508056)","-48.91","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-06T11:30:00.000Z","LatLng(45.314247, 12.508056)","-61.59105447","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-03-13T00:00:00.000Z","LatLng(45.314247, 12.508056)","-80.735","/","2021-03-13T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-03-13T00:00:00.000Z","LatLng(45.314247, 12.508056)","-84.08","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-13T11:30:00.000Z","LatLng(45.314247, 12.508056)","-48.343957","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-03-20T00:00:00.000Z","LatLng(45.314247, 12.508056)","-48.334","/","2021-03-20T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-03-20T00:00:00.000Z","LatLng(45.314247, 12.508056)","-59.38","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-20T11:30:00.000Z","LatLng(45.314247, 12.508056)","2.811495789","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-03-27T00:00:00.000Z","LatLng(45.314247, 12.508056)","38.715","/","2021-03-27T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-03-27T00:00:00.000Z","LatLng(45.314247, 12.508056)","168.92","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-03-27T11:30:00.000Z","LatLng(45.314247, 12.508056)","11.98743981","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-04-03T00:00:00.000Z","LatLng(45.314247, 12.508056)","2.433","/","2021-04-03T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-04-03T00:00:00.000Z","LatLng(45.314247, 12.508056)","60.45","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-03T11:30:00.000Z","LatLng(45.314247, 12.508056)","0.562527997","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2021-04-10T00:00:00.000Z","LatLng(45.314247, 12.508056)","-73.083","/","2021-04-10T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2021-04-10T00:00:00.000Z","LatLng(45.314247, 12.508056)","-20.26","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-04-10T11:30:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
